,platform,title,date,place,artist,url,imageUrl
86,InterPark Ticket,소리인생 45주년〈2017 김영임의 소리 ‘孝’ 대공연〉- 수원,2017.10.07,경기도문화의전당 대극장,김영임,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17011404,http://ticketimage.interpark.com/Play/image/large/17/17011404_p.gif
87,InterPark Ticket,Someday Festival 2017 4차티켓,2017.09.16 ~ 2017.09.17,서울 난지한강공원,"에픽하이, 박정현, 못, 자우림, 하동균, 노리플라이, 윤하, 루시아(심규선), 바닐라 어쿠스틱, 에피톤 프로젝트, 커피소년, 김지수, 에일리, 로꼬, 스웨덴세탁소, 선우정아, 크러쉬, 악동뮤지션, 안녕하신가영, 이수, 지소울, 스무살, 서사무엘, 헤이즈, 윤딴딴, 창모, 볼빨간사춘기, 임수연, 오오오",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17008522,http://ticketimage.interpark.com/Play/image/large/17/17008522_p.gif
88,InterPark Ticket,2017 김광석 다시부르기 - 제주,2017.09.30,제주아트센터,"유리상자, 동물원, 황정민, 한동준, 박학기, 윤도현, 장필순, 자전거 탄 풍경, 박시환",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17010517,http://ticketimage.interpark.com/Play/image/large/17/17010517_p.gif
89,InterPark Ticket,2017상상실현페스티벌 - 춘천,2017.10.14,KT＆G 상상마당 춘천 아트센터,"강산에, 장기하와 얼굴들, 커피소년, 솔루션스, 혁오, 잔나비, 스텔라장, 멜로망스, 그_냥, 마리슈, 다브다",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17010575,http://ticketimage.interpark.com/Play/image/large/17/17010575_p.gif
90,InterPark Ticket,［ 2017 Theatre 이문세 ］ - 대전,2017.10.20 ~ 2017.10.21,충남대학교 정심화홀,이문세,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17009643,http://ticketimage.interpark.com/Play/image/large/17/17009643_p.gif
91,InterPark Ticket,이은미 2017 라이브투어 - 대전,2017.09.22,충남대학교 정심화홀,이은미,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17010343,http://ticketimage.interpark.com/Play/image/large/17/17010343_p.gif
92,InterPark Ticket,2017 드림 시어터 내한공연,2017.09.16,올림픽공원 올림픽홀,드림 시어터,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17009150,http://ticketimage.interpark.com/Play/image/large/17/17009150_p.gif
93,InterPark Ticket,2017 거미 앨범 발매기념 콘서트 〈STROKE〉 - 전주,2017.11.11,한국소리문화의전당 모악당,거미,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17011110,http://ticketimage.interpark.com/Play/image/large/17/17011110_p.gif
94,InterPark Ticket,원더우먼페스티벌2017 정식티켓,2017.09.24,서울숲 공원,"송은이, 장윤주, 안영미, 정성호, 지코, 넉살, 박나래, 우현증, 권혁수, 한수민",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17011794,http://ticketimage.interpark.com/Play/image/large/17/17011794_p.gif
95,InterPark Ticket,제4회 M.I.SEA 힙합콘서트 - 제주,2017.10.09,제주컨벤션센터,"도끼, 더콰이엇, 딥플로우, 넉살, 창모",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17011420,http://ticketimage.interpark.com/Play/image/large/17/17011420_p.gif
